Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)  
OH_Pt_111_bridge   0.913   2.838   2.838   1.04   3.9   9.0   2   -1.944   1.98   0.835   5.618   5.922   8.959   2.125   8.832   1.181   2.28   1.733   0.107   
OH_Pt_211_top-t   0.828   2.838   2.82   1.04   3.9   9.0   1   -2.037   2.06   0.845   5.53   5.75   8.959   2.125   8.769   1.2   2.28   1.789   0.129   
OH_Ni_211_top-s   0.038   2.502   2.464   0.71   1.16   7.0   1   -1.152   1.645   2.703   18.317   4.945   7.64   1.157   8.858   1.14   1.91   1.888   0.218   
OH_Pd_211_bridge1-s   0.586   2.819   2.799   0.94   2.78   8.0   2   -1.567   1.308   0.594   5.247   5.21   8.337   0.562   9.312   0.727   2.2   2.244   0.137   
OH_AgAu_211_fcc-s-2   1.034   2.988   2.954   0.97   2.987   8.333   3   -3.482   1.262   2.073   14.173   4.996   8.676   1.974   9.754   1.223   2.337   0.066   0.268   
OH_Pd@Ir_211_bridge1-s-2   0.234   2.753   2.709   1.08   4.45   8.0   2   -1.828   2.519   0.704   4.827   5.489   9.121   1.564   7.745   1.248   2.2   1.516   0.202   
OH_Au_111_bridge   1.139   2.99   2.996   1.01   3.35   9.0   2   -3.319   1.336   1.289   8.483   5.321   9.226   2.309   9.738   1.303   2.54   0.113   0.294   
OH_IrRu_211_bridge1-t-4   0.441   2.743   2.718   1.065   4.16   9.5   2   -1.703   2.475   0.67   4.502   5.189   8.241   1.305   7.319   1.12   2.2   1.407   0.128   
OH_Pd_211_hcp-t   0.954   2.819   2.814   0.94   2.78   9.333   3   -1.677   1.386   0.62   4.792   5.21   8.337   0.562   9.276   0.789   2.2   2.252   0.12   
OH_Ag_211_fcc-s   0.446   2.985   2.963   0.89   2.26   8.333   3   -4.024   1.059   3.219   24.252   4.427   7.576   1.304   9.85   1.116   1.93   0.037   0.284   
OH_Au_110_shortbridge   0.767   2.99   2.941   1.01   3.35   7.0   2   -3.09   1.31   1.368   9.976   5.23   9.226   2.309   9.719   1.177   2.54   0.077   0.274   
OH_PtRh_211_bridge1-s-2   0.762   2.838   2.76   1.04   3.9   8.0   2   -2.102   2.022   1.313   7.509   5.75   8.959   2.125   8.77   1.076   2.28   1.448   0.169   
OH_AgAu_211_bridge1-s-3   0.938   2.988   2.948   0.95   2.805   8.0   2   -3.552   1.203   2.111   14.668   4.854   8.401   1.807   9.775   1.169   2.235   0.058   0.266   
OH_AgAu_211_bridge1-t-2   1.061   2.988   2.971   0.95   2.805   9.5   2   -3.675   1.283   2.118   13.765   4.854   8.401   1.807   9.754   1.233   2.235   0.066   0.237   
OH_Au@Ni_211_bridge1-t-1   0.342   2.502   2.512   0.71   1.16   9.5   2   -1.243   1.845   2.536   16.276   4.945   7.64   1.157   8.681   1.295   1.91   1.863   0.132   
OH_Pt@Rh_211_bridge1-t-3   0.448   2.734   2.717   0.99   3.32   9.5   2   -1.496   2.428   1.985   11.174   5.078   7.459   1.143   7.845   1.116   2.28   1.836   0.12   
