Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)  
CO_Pd@Ir_211_bridge1-t-2   1.221   2.753   2.739   1.08   4.45   9.5   2   -1.975   2.671   0.738   4.615   5.489   9.121   1.564   7.689   1.31   2.2   1.336   0.122   
CO_Pd_100_bridge   0.871   2.819   2.816   0.94   2.78   8.0   2   -1.528   1.308   0.818   6.653   5.279   8.337   0.562   9.316   0.721   2.2   1.883   0.135   
CO_IrRu_211_bridge1-s-3   1.048   2.743   2.699   1.065   4.16   8.0   2   -1.576   2.345   0.654   4.863   5.189   8.241   1.305   7.342   1.06   2.2   1.671   0.213   
CO_Au@Ni_211_four-fold-s-2   1.116   2.502   2.482   0.71   1.16   8.5   4   -1.225   1.788   2.567   16.833   4.945   7.64   1.157   8.741   1.246   1.91   1.953   0.164   
CO_Pd@Ir_211_bridge2-t-2   1.185   2.753   2.717   1.08   4.45   9.0   2   -1.963   2.702   0.795   4.896   5.489   9.121   1.564   7.673   1.294   2.2   1.339   0.131   
CO_AgPd_211_bridge1-t-1   1.193   2.819   2.873   0.94   2.78   9.5   2   -1.408   1.429   1.097   10.104   5.21   8.337   0.562   9.401   0.839   2.2   0.566   0.156   
CO_Ru_211_hcp-t   0.747   2.732   2.706   1.05   3.87   9.333   3   -1.359   2.154   0.396   3.257   4.889   7.361   1.046   7.068   0.917   2.2   1.328   0.137   
CO_PtRh_211_bridge1-t-1   0.959   2.734   2.77   0.99   3.32   9.5   2   -1.395   2.326   1.555   9.684   5.078   7.459   1.143   7.922   1.241   2.28   2.352   0.126   
CO_Ag@Cu_211_bridge3-s-2   2.181   2.603   2.575   0.67   1.0   8.5   2   -2.394   1.056   1.596   13.849   4.719   7.726   1.236   9.764   1.23   1.9   0.097   0.257   
CO_Ni_211_bridge2-t   0.972   2.502   2.482   0.71   1.16   9.0   2   -1.277   1.81   2.612   16.567   4.945   7.64   1.157   8.802   1.277   1.91   1.91   0.145   
CO_Pd@Ir_211_bridge1-t-3   1.224   2.753   2.731   1.08   4.45   9.5   2   -1.998   2.763   0.83   4.967   5.489   9.121   1.564   7.672   1.312   2.2   1.303   0.111   
CO_Ir_211_hcp-t   1.221   2.753   2.728   1.08   4.45   9.333   3   -2.013   2.697   0.721   4.475   5.489   9.121   1.564   7.69   1.316   2.2   1.287   0.114   
CO_Pt@Rh_211_bridge1-s-1   1.145   2.786   2.723   1.015   3.61   8.0   2   -1.755   2.081   1.467   8.301   5.414   8.209   1.634   8.326   1.062   2.28   1.499   0.175   
CO_PtRh_211_bridge1-s-3   1.008   2.786   2.749   1.015   3.61   8.0   2   -1.722   2.106   1.39   8.563   5.414   8.209   1.634   8.378   1.108   2.28   1.942   0.17   
